finish_position,points
1,25
2,18
3,15
4,12
5,10
6,8
7,6
8,4
9,2
10,1
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
