race_num,race_city,rank,driver,car_no,start,laps,total_time,laps_led,status,avg_speed,num_pit_stop,points,points_f1,points_IMSA,track_type
7,roadamerica,7,Romain Grosjean,77,14,55,6329.2977,0,Running,125.570,3,26,6,257,Road Course
7,roadamerica,8,Pato O'Ward,5,11,55,6330.3376,0,Running,125.550,4,24,4,250,Road Course
7,roadamerica,9,Marcus Ericsson,28,15,55,6335.6527,0,Running,125.444,3,22,2,236,Road Course
7,roadamerica,10,Graham Rahal,15,24,55,6342.8661,0,Running,125.302,4,20,1,217,Road Course
7,roadamerica,11,Christian Lundgaard,45,13,55,6346.4711,0,Running,125.231,3,19,0,218,Road Course
7,roadamerica,12,Linus Lundqvist,8,1,55,6346.8374,0,Running,125.223,5,19,0,225,Road Course
7,roadamerica,13,Theo Pourchaire,6,18,55,6354.5549,0,Running,125.071,3,17,0,193,Road Course
7,roadamerica,14,Felix Rosenqvist,60,22,55,6359.2679,3,Running,124.979,3,17,0,179,Road Course
7,roadamerica,15,Santino Ferrucci,14,19,55,6363.7603,0,Running,124.890,3,15,0,172,Road Course
7,roadamerica,16,Pietro Fittipaldi,30,25,55,6364.7428,0,Running,124.871,3,14,0,156,Road Course
7,roadamerica,17,Sting Ray Robb,41,26,55,6368.4656,0,Running,124.798,3,13,0,145,Road Course
7,roadamerica,18,Alexander Rossi,7,9,55,6375.0693,0,Running,124.669,3,12,0,152,Road Course
7,roadamerica,19,Helio Castroneves,66,27,55,6375.7185,0,Running,124.656,3,11,0,124,Road Course
7,roadamerica,20,Christian Rasmussen,20,16,55,6379.0968,0,Running,124.590,3,10,0,125,Road Course
7,roadamerica,21,Scott Dixon,9,10,55,6384.5021,0,Running,124.485,3,9,0,121,Road Course
7,roadamerica,22,Luca Ghiotto,51,23,55,6400.1879,0,Running,124.179,5,8,0,98,Road Course
7,roadamerica,23,Nolan Siegel,78,21,54,6310.179,0,Running,123.661,5,7,0,90,Road Course
7,roadamerica,24,Rinus VeeKay,21,17,53,6321.9506,0,Running,121.145,3,6,0,84,Road Course
7,roadamerica,25,Jack Harvey,18,20,51,6388.2869,0,Running,115.363,3,5,0,71,Road Course
7,roadamerica,26,Marcus Armstrong,11,3,35,4234.4531,0,Mechanical,119.440,3,5,0,80,Road Course
7,roadamerica,27,Kyffin Simpson,4,12,5,788.8502,0,Contact,91.592,0,5,0,59,Road Course
11,iowa2,1,Will Power,12,22,250,5198.7472,51,Running,154.768,2,51,25,359,Oval
11,iowa2,2,Alex Palou,10,2,250,5199.1387,103,Running,154.756,2,43,18,352,Oval
11,iowa2,3,Scott McLaughlin,3,1,250,5201.1123,94,Running,154.698,2,37,15,335,Oval
11,iowa2,4,Scott Dixon,9,3,250,5201.2798,0,Running,154.693,2,32,12,310,Oval
11,iowa2,5,Colton Herta,26,4,250,5203.1835,0,Running,154.636,2,30,10,288,Oval
11,iowa2,6,Pato O'Ward,5,7,250,5203.4261,0,Running,154.629,2,28,8,274,Oval
11,iowa2,7,Josef Newgarden,2,14,250,5203.6064,0,Running,154.624,2,26,6,257,Oval
11,iowa2,8,Graham Rahal,15,8,250,5216.8028,0,Running,154.232,2,24,4,253,Oval
11,iowa2,9,Rinus VeeKay,21,15,250,5217.512,0,Running,154.211,2,22,2,236,Oval
11,iowa2,10,Romain Grosjean,77,16,250,5219.228,0,Running,154.161,2,20,1,225,Oval
11,iowa2,11,Santino Ferrucci,14,19,250,5219.5783,0,Running,154.150,2,19,0,212,Oval
11,iowa2,12,Linus Lundqvist,8,13,250,5223.7707,3,Running,154.027,3,19,0,208,Oval
11,iowa2,13,David Malukas,66,9,250,5225.2245,0,Running,153.984,2,17,0,202,Oval
11,iowa2,14,Nolan Siegel,6,11,250,5226.8768,0,Running,153.935,2,16,0,190,Oval
11,iowa2,15,Alexander Rossi,7,6,249,5191.4464,0,Contact,154.366,2,15,0,185,Oval
11,iowa2,16,Kyle Kirkwood,27,12,249,5194.3082,0,Contact,154.281,2,14,0,169,Oval
11,iowa2,17,Christian Lundgaard,45,18,249,5200.0377,0,Running,154.111,2,13,0,153,Oval
11,iowa2,18,Kyffin Simpson,4,23,249,5202.3091,0,Running,154.043,2,12,0,138,Oval
11,iowa2,19,Marcus Armstrong,11,25,249,5222.9722,0,Running,153.434,2,11,0,126,Oval
11,iowa2,20,Pietro Fittipaldi,30,17,249,5224.6798,0,Running,153.384,2,10,0,124,Oval
11,iowa2,21,Sting Ray Robb,41,20,248,5192.5738,0,Contact,153.712,2,9,0,111,Oval
11,iowa2,22,Ed Carpenter,20,26,248,5193.2816,0,Contact,153.691,2,8,0,95,Oval
11,iowa2,23,Marcus Ericsson,28,21,248,5200.6183,0,Running,153.475,2,7,0,90,Oval
11,iowa2,24,Katherine Legge,51,24,248,5202.7888,0,Running,153.411,2,6,0,77,Oval
11,iowa2,25,Agustin Canapino,78,10,221,4944.1541,0,Mechanical,143.860,3,5,0,81,Oval
11,iowa2,26,Felix Rosenqvist,60,5,184,4320.9701,0,Mechanical,137.049,1,5,0,76,Oval
11,iowa2,27,Conor Daly,18,27,140,3578.7787,0,Mechanical,125.902,1,5,0,44,Oval
10,iowa1,1,Scott McLaughlin,3,2,250,6281.1172,164,Running,128.098,2,53,25,382,Oval
10,iowa1,2,Pato O'Ward,5,6,250,6281.5986,0,Running,128.088,2,40,18,345,Oval
10,iowa1,3,Josef Newgarden,2,22,250,6282.6346,0,Running,128.067,2,35,15,309,Oval
10,iowa1,4,Scott Dixon,9,5,250,6286.1213,0,Running,127.996,2,32,12,306,Oval
10,iowa1,5,Rinus VeeKay,21,13,250,6287.6828,0,Running,127.964,2,30,10,278,Oval
10,iowa1,6,Santino Ferrucci,14,8,250,6288.5747,0,Running,127.946,2,28,8,273,Oval
10,iowa1,7,Kyle Kirkwood,27,19,250,6289.5372,0,Running,127.927,2,26,6,252,Oval
10,iowa1,8,Alexander Rossi,7,7,250,6290.4597,0,Running,127.908,2,24,4,254,Oval
10,iowa1,9,Marcus Ericsson,28,10,250,6291.4942,0,Running,127.887,2,22,2,241,Oval
10,iowa1,10,Marcus Armstrong,11,9,250,6292.5178,0,Running,127.866,2,20,1,232,Oval
10,iowa1,11,Colton Herta,26,1,250,6292.9286,86,Running,127.858,2,21,0,235,Oval
10,iowa1,12,Nolan Siegel,6,15,250,6293.2451,0,Running,127.851,2,18,0,206,Oval
10,iowa1,13,Felix Rosenqvist,60,11,250,6293.5823,0,Running,127.845,2,17,0,200,Oval
10,iowa1,14,Kyffin Simpson,4,27,250,6294.622,0,Running,127.823,2,16,0,174,Oval
10,iowa1,15,Sting Ray Robb,41,24,250,6295.1414,0,Running,127.813,2,15,0,167,Oval
10,iowa1,16,Graham Rahal,15,21,249,6295.6604,0,Running,127.291,2,14,0,160,Oval
10,iowa1,17,Katherine Legge,51,26,249,6299.6138,0,Running,127.211,2,13,0,145,Oval
10,iowa1,18,Will Power,12,4,241,6298.6088,0,Running,123.144,4,12,0,158,Oval
10,iowa1,19,Pietro Fittipaldi,30,17,228,5666.8875,0,Contact,129.488,2,11,0,134,Oval
10,iowa1,20,Ed Carpenter,20,25,228,5668.1006,0,Contact,129.461,3,10,0,116,Oval
10,iowa1,21,Linus Lundqvist,8,12,209,5004.4177,0,Mechanical,134.410,2,9,0,119,Oval
10,iowa1,22,Christian Lundgaard,45,23,178,6099.5544,0,Contact,93.921,3,8,0,98,Oval
10,iowa1,23,Alex Palou,10,3,175,4029.0616,0,Contact,139.789,1,7,0,110,Oval
10,iowa1,24,Romain Grosjean,77,20,48,4375.2974,0,Contact,35.308,1,6,0,81,Oval
10,iowa1,25,Jack Harvey,18,18,28,1034.2261,0,Retired,87.133,0,5,0,73,Oval
