Rank,Driver,Car No.,Starts,Laps,Total time,Laps Led,Status,Points,Avg.Speed,Pit stop,City,Points (F1 Scoring),Points (IMSA Scoring),Race Number
10,Rinus VeeKay,21,12,259,02:22:39.8352,259,Running,20,136.159,4,gateway,1,229,13
11,Scott Dixon,9,19,258,02:22:35.1547,258,Running,20,135.708,5,gateway,0,212,13
12,Santino Ferrucci,14,17,258,02:22:35.5855,258,Running,18,135.701,5,gateway,0,204,13
13,Conor Daly,78,9,258,02:22:40.1843,258,Running,17,135.628,4,gateway,0,202,13
14,Pietro Fittipaldi,30,15,258,02:22:43.0743,258,Running,16,135.582,5,gateway,0,186,13
15,Christian Lundgaard,45,23,257,02:22:37.6655,257,Running,15,135.142,5,gateway,0,168,13
16,Romain Grosjean,77,6,257,02:22:41.2126,257,Running,14,135.086,5,gateway,0,175,13
17,Ed Carpenter,20,21,252,02:22:44.9806,252,Running,13,132.400,9,gateway,0,150,13
18,Will Power,12,4,250,02:13:35.4985,250,Contact,15,140.353,4,gateway,0,158,13
19,Alexander Rossi,7,13,250,02:13:36.2301,250,Contact,12,140.340,4,gateway,0,138,13
20,Jack Harvey,18,26,249,02:13:44.4603,249,Contact,10,139.636,4,gateway,0,115,13
21,David Malukas,66,2,238,02:03:57.2412,238,Contact,10,144.005,4,gateway,0,132,13
22,Kyle Kirkwood,27,5,207,02:06:22.2296,207,Contact,8,122.853,4,gateway,0,116,13
23,Graham Rahal,15,14,161,01:25:07.1785,161,Mechanical,8,141.859,2,gateway,0,97,13
24,Marcus Ericsson,28,7,151,01:25:00.0321,151,Mechanical,7,133.234,2,gateway,0,94,13
25,Kyffin Simpson,4,22,84,00:44:48.6274,84,Contact,5,140.592,1,gateway,0,69,13
26,Pato O'Ward,5,8,42,00:25:20.3456,42,Mechanical,5,124.314,0,gateway,0,73,13
27,Katherine Legge,51,27,7,00:03:20.9005,7,Contact,5,156.794,0,gateway,0,44,13
1,Josef Newgarden,2,3,200,02:58:49.4079,200,Running,61,167.763,5,indy500,25,380,5
2,Pato O'Ward,5,8,200,02:58:49.7496,200,Running,46,167.758,6,indy500,18,343,5
3,Scott Dixon,9,21,200,02:58:50.3176,200,Running,36,167.749,6,indy500,15,310,5
4,Alexander Rossi,7,4,200,02:58:50.5770,200,Running,42,167.745,5,indy500,12,308,5
5,Alex Palou,10,14,200,02:58:50.9158,200,Running,31,167.740,5,indy500,10,277,5
6,Scott McLaughlin,3,1,200,02:58:51.4672,200,Running,43,167.731,5,indy500,8,285,5
7,Kyle Kirkwood,27,11,200,02:58:51.9458,200,Running,29,167.724,6,indy500,6,260,5
8,Santino Ferrucci,14,6,200,02:58:53.0222,200,Running,32,167.707,5,indy500,4,255,5
9,Rinus VeeKay,21,7,200,02:58:53.3639,200,Running,29,167.701,5,indy500,2,244,5
10,Conor Daly,24,29,200,02:58:54.0150,200,Running,21,167.691,6,indy500,1,212,5
11,Callum Ilott,6,15,200,02:58:54.3731,200,Running,20,167.686,7,indy500,0,216,5
12,Christian Rasmussen,33,24,200,02:58:54.7313,200,Running,18,167.680,6,indy500,0,197,5
13,Christian Lundgaard,45,28,200,02:58:55.5903,200,Running,18,167.667,7,indy500,0,183,5
14,Takuma Sato,75,10,200,02:58:56.0972,200,Running,19,167.659,6,indy500,0,191,5
15,Graham Rahal,15,33,200,02:58:56.7687,200,Running,15,167.648,7,indy500,0,160,5
16,Sting Ray Robb,41,23,200,02:58:57.9177,200,Running,15,167.630,5,indy500,0,158,5
17,Ed Carpenter,20,17,200,02:58:58.3160,200,Running,14,167.624,6,indy500,0,154,5
18,Kyle Larson,17,5,200,02:58:58.8925,200,Running,21,167.615,6,indy500,0,156,5
19,Romain Grosjean,77,26,200,02:58:59.2391,200,Running,11,167.610,7,indy500,0,125,5
20,Helio Castroneves,06,20,200,02:58:59.7681,200,Running,10,167.601,5,indy500,0,121,5
21,Kyffin Simpson,4,18,200,02:59:00.5010,200,Running,10,167.590,8,indy500,0,113,5
22,Agustin Canapino,78,22,199,02:58:52.6079,199,Running,8,166.875,6,indy500,0,99,5
23,Colton Herta,26,13,170,02:50:29.6118,170,Contact,7,149.566,4,indy500,0,98,5
24,Will Power,12,2,145,02:13:37.2524,145,Contact,17,162.774,4,indy500,0,102,5
25,Marco Andretti,98,19,113,01:47:32.7638,113,Contact,5,157.607,5,indy500,0,72,5
26,Ryan Hunter-Reay,23,12,107,01:39:56.0999,107,Contact,6,160.604,4,indy500,0,69,5
27,Felix Rosenqvist,60,9,55,00:51:59.8657,55,Mechanical,9,158.661,1,indy500,0,62,5
28,Linus Lundqvist,8,27,27,00:29:29.7195,27,Contact,5,137.310,2,indy500,0,34,5
29,Katherine Legge,51,31,22,00:30:52.8001,22,Mechanical,5,106.865,1,indy500,0,20,5
30,Marcus Armstrong,11,16,6,00:10:27.1741,6,Mechanical,5,86.100,0,indy500,0,25,5
31,Tom Blomqvist,66,25,0,00:00:05.4517,0,Contact,5,0.000,0,indy500,0,16,5
32,Pietro Fittipaldi,30,30,0,00:00:05.6941,0,Contact,5,0.000,0,indy500,0,11,5
33,Marcus Ericsson,28,32,0,00:00:05.9281,0,Contact,5,0.000,0,indy500,0,10,5
1,Alex Palou,10,1,85,01:45:27.2320,85,Running,54,117.956,3,indyrc,25,385,4
2,Will Power,12,3,85,01:45:33.8426,85,Running,40,117.833,3,indyrc,18,350,4
3,Christian Lundgaard,45,2,85,01:45:35.3220,85,Running,36,117.805,3,indyrc,15,332,4
4,Scott Dixon,9,6,85,01:45:40.6582,85,Running,33,117.706,3,indyrc,12,305,4
5,Marcus Armstrong,11,8,85,01:45:41.1298,85,Running,31,117.697,3,indyrc,10,283,4
6,Scott McLaughlin,3,13,85,01:45:41.5066,85,Running,29,117.690,3,indyrc,8,268,4
7,Colton Herta,26,24,85,01:45:46.0874,85,Running,26,117.605,3,indyrc,6,247,4
8,Alexander Rossi,7,7,85,01:45:47.3958,85,Running,25,117.581,3,indyrc,4,254,4
9,Graham Rahal,15,9,85,01:45:49.3876,85,Running,23,117.544,3,indyrc,2,242,4
10,Felix Rosenqvist,60,10,85,01:45:53.5744,85,Running,20,117.467,3,indyrc,1,231,4
11,Kyle Kirkwood,27,14,85,01:45:54.6892,85,Running,19,117.446,3,indyrc,0,217,4
12,Romain Grosjean,77,23,85,01:45:56.5428,85,Running,18,117.412,3,indyrc,0,198,4
13,Pato O'Ward,5,5,85,01:45:58.4708,85,Running,17,117.376,3,indyrc,0,206,4
14,Pietro Fittipaldi,30,11,85,01:45:59.1192,85,Running,17,117.364,3,indyrc,0,190,4
15,Kyffin Simpson,4,25,85,01:45:59.5215,85,Running,15,117.357,3,indyrc,0,166,4
16,Marcus Ericsson,28,21,85,01:46:01.8902,85,Running,14,117.313,3,indyrc,0,160,4
17,Josef Newgarden,2,4,85,01:46:04.1969,85,Running,13,117.271,3,indyrc,0,168,4
18,Jack Harvey,18,17,85,01:46:05.2444,85,Running,12,117.251,3,indyrc,0,144,4
19,Theo Pourchaire,6,18,85,01:46:05.2999,85,Running,11,117.250,3,indyrc,0,133,4
20,Christian Rasmussen,20,20,85,01:46:06.6539,85,Running,10,117.225,3,indyrc,0,121,4
21,Agustin Canapino,78,15,84,01:45:45.1182,84,Running,9,116.240,3,indyrc,0,116,4
22,Sting Ray Robb,41,27,84,01:45:52.9639,84,Running,8,116.096,3,indyrc,0,94,4
